Time_s,Fish_X,Fish_Y,BG_X,BG_Y,Rel_X,Rel_Y
4.033333,565.0661,775.219,748.4105,1222.583,-183.3444,-447.3636
4.066667,564.327,778.1445,747.2643,1224.682,-182.9373,-446.538
4.1,563.0887,781.0285,746.572,1228.262,-183.4832,-447.2335
4.133333,562.8903,784.7434,746.3149,1232.984,-183.4247,-448.2411
4.166667,562.7823,788.6047,746.8419,1238.81,-184.0595,-450.2056
4.2,561.5787,791.8275,747.3358,1245.192,-185.7571,-453.3648
4.233333,561.2712,793.8235,748.1812,1251.635,-186.9099,-457.8112
4.266667,562.4442,795.7695,748.9167,1257.199,-186.4725,-461.4296
4.3,562.8707,797.1824,749.5422,1262.207,-186.6715,-465.0242
4.333333,563.4627,798.6002,749.6039,1266.535,-186.1412,-467.9348
4.366667,561.1355,798.6405,749.1408,1270.027,-188.0053,-471.3866
4.4,560.0082,798.9858,748.9614,1273.337,-188.9532,-474.3511
4.433333,556.7803,798.8119,748.8898,1276.764,-192.1094,-477.9521
4.466667,556.8481,798.5098,749.3177,1279.386,-192.4695,-480.876
4.5,556.0063,798.5567,750.5927,1282.198,-194.5864,-483.6411
4.533333,557.1129,800.0387,751.3355,1284.241,-194.2226,-484.2028
4.566667,557.7889,801.8637,752.4638,1287.025,-194.6749,-485.1611
4.6,558.6059,803.8228,753.7208,1289.548,-195.1149,-485.725
4.633333,559.283,805.4817,755.3247,1292.517,-196.0417,-487.0353
4.666667,559.8334,807.302,757.4261,1295.684,-197.5927,-488.3818
4.7,561.2378,806.0527,759.3243,1298.647,-198.0865,-492.5945
4.733333,562.3104,808.8895,761.0694,1298.672,-198.759,-489.7823
4.766667,560.1743,809.6155,762.7244,1298.531,-202.5502,-488.9157
4.8,558.0952,809.154,764.3354,1299.872,-206.2402,-490.7183
4.833333,558.0618,809.022,766.1258,1300.441,-208.064,-491.4193
4.866667,558.3352,808.8152,764.6343,1301.106,-206.2991,-492.291
4.9,559.4951,808.3938,764.802,1303.917,-205.3069,-495.5236
4.933333,560.9608,807.9103,764.6654,1302.17,-203.7047,-494.2595
